Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,"""I am confident in my abilities and beliefs.""",positive ,,"Translated: ""I am confident in my abilities and beliefs."" to bg","Translated: ""I am confident in my abilities and beliefs."" to hr","Translated: ""I am confident in my abilities and beliefs."" to cs","Translated: ""I am confident in my abilities and beliefs."" to da","Translated: ""I am confident in my abilities and beliefs."" to nl","Translated: ""I am confident in my abilities and beliefs."" to en","Translated: ""I am confident in my abilities and beliefs."" to et"
,,,"""I choose happiness and joy in every moment.""",positive ,,"Translated: ""I choose happiness and joy in every moment."" to bg","Translated: ""I choose happiness and joy in every moment."" to hr","Translated: ""I choose happiness and joy in every moment."" to cs","Translated: ""I choose happiness and joy in every moment."" to da","Translated: ""I choose happiness and joy in every moment."" to nl","Translated: ""I choose happiness and joy in every moment."" to en","Translated: ""I choose happiness and joy in every moment."" to et"
,,,"""I am surrounded by love and support.""",positive ,,"Translated: ""I am surrounded by love and support."" to bg","Translated: ""I am surrounded by love and support."" to hr","Translated: ""I am surrounded by love and support."" to cs","Translated: ""I am surrounded by love and support."" to da","Translated: ""I am surrounded by love and support."" to nl","Translated: ""I am surrounded by love and support."" to en","Translated: ""I am surrounded by love and support."" to et"
,,,"""I am a powerful creator of my own reality.""",positive ,,"Translated: ""I am a powerful creator of my own reality."" to bg","Translated: ""I am a powerful creator of my own reality."" to hr","Translated: ""I am a powerful creator of my own reality."" to cs","Translated: ""I am a powerful creator of my own reality."" to da","Translated: ""I am a powerful creator of my own reality."" to nl","Translated: ""I am a powerful creator of my own reality."" to en","Translated: ""I am a powerful creator of my own reality."" to et"
,,,"""I believe in my dreams and trust the journey.""",positive ,,"Translated: ""I believe in my dreams and trust the journey."" to bg","Translated: ""I believe in my dreams and trust the journey."" to hr","Translated: ""I believe in my dreams and trust the journey."" to cs","Translated: ""I believe in my dreams and trust the journey."" to da","Translated: ""I believe in my dreams and trust the journey."" to nl","Translated: ""I believe in my dreams and trust the journey."" to en","Translated: ""I believe in my dreams and trust the journey."" to et"
,,,"""I am resilient and can overcome any challenge.""",positive ,,"Translated: ""I am resilient and can overcome any challenge."" to bg","Translated: ""I am resilient and can overcome any challenge."" to hr","Translated: ""I am resilient and can overcome any challenge."" to cs","Translated: ""I am resilient and can overcome any challenge."" to da","Translated: ""I am resilient and can overcome any challenge."" to nl","Translated: ""I am resilient and can overcome any challenge."" to en","Translated: ""I am resilient and can overcome any challenge."" to et"
,,,"""I radiate positivity and attract positivity.""",positive ,,"Translated: ""I radiate positivity and attract positivity."" to bg","Translated: ""I radiate positivity and attract positivity."" to hr","Translated: ""I radiate positivity and attract positivity."" to cs","Translated: ""I radiate positivity and attract positivity."" to da","Translated: ""I radiate positivity and attract positivity."" to nl","Translated: ""I radiate positivity and attract positivity."" to en","Translated: ""I radiate positivity and attract positivity."" to et"
,,,"""I am deserving of success and abundance.""",positive ,,"Translated: ""I am deserving of success and abundance."" to bg","Translated: ""I am deserving of success and abundance."" to hr","Translated: ""I am deserving of success and abundance."" to cs","Translated: ""I am deserving of success and abundance."" to da","Translated: ""I am deserving of success and abundance."" to nl","Translated: ""I am deserving of success and abundance."" to en","Translated: ""I am deserving of success and abundance."" to et"
,,,"""My potential is limitless, and I am unstoppable.""",positive ,,"Translated: ""My potential is limitless, and I am unstoppable."" to bg","Translated: ""My potential is limitless, and I am unstoppable."" to hr","Translated: ""My potential is limitless, and I am unstoppable."" to cs","Translated: ""My potential is limitless, and I am unstoppable."" to da","Translated: ""My potential is limitless, and I am unstoppable."" to nl","Translated: ""My potential is limitless, and I am unstoppable."" to en","Translated: ""My potential is limitless, and I am unstoppable."" to et"
,,,"""I am grateful for the opportunities life brings.""",positive ,,"Translated: ""I am grateful for the opportunities life brings."" to bg","Translated: ""I am grateful for the opportunities life brings."" to hr","Translated: ""I am grateful for the opportunities life brings."" to cs","Translated: ""I am grateful for the opportunities life brings."" to da","Translated: ""I am grateful for the opportunities life brings."" to nl","Translated: ""I am grateful for the opportunities life brings."" to en","Translated: ""I am grateful for the opportunities life brings."" to et"
,,,"""I embrace change with courage and flexibility.""",positive ,,"Translated: ""I embrace change with courage and flexibility."" to bg","Translated: ""I embrace change with courage and flexibility."" to hr","Translated: ""I embrace change with courage and flexibility."" to cs","Translated: ""I embrace change with courage and flexibility."" to da","Translated: ""I embrace change with courage and flexibility."" to nl","Translated: ""I embrace change with courage and flexibility."" to en","Translated: ""I embrace change with courage and flexibility."" to et"
,,,"""I am a beacon of light, inspiring others.""",positive ,,"Translated: ""I am a beacon of light, inspiring others."" to bg","Translated: ""I am a beacon of light, inspiring others."" to hr","Translated: ""I am a beacon of light, inspiring others."" to cs","Translated: ""I am a beacon of light, inspiring others."" to da","Translated: ""I am a beacon of light, inspiring others."" to nl","Translated: ""I am a beacon of light, inspiring others."" to en","Translated: ""I am a beacon of light, inspiring others."" to et"
,,,"""I trust the process of life and let go of fear.""",positive ,,"Translated: ""I trust the process of life and let go of fear."" to bg","Translated: ""I trust the process of life and let go of fear."" to hr","Translated: ""I trust the process of life and let go of fear."" to cs","Translated: ""I trust the process of life and let go of fear."" to da","Translated: ""I trust the process of life and let go of fear."" to nl","Translated: ""I trust the process of life and let go of fear."" to en","Translated: ""I trust the process of life and let go of fear."" to et"
,,,"""I am a magnet for success and positive outcomes.""",positive ,,"Translated: ""I am a magnet for success and positive outcomes."" to bg","Translated: ""I am a magnet for success and positive outcomes."" to hr","Translated: ""I am a magnet for success and positive outcomes."" to cs","Translated: ""I am a magnet for success and positive outcomes."" to da","Translated: ""I am a magnet for success and positive outcomes."" to nl","Translated: ""I am a magnet for success and positive outcomes."" to en","Translated: ""I am a magnet for success and positive outcomes."" to et"
,,,"""I am surrounded by opportunities for growth.""",positive ,,"Translated: ""I am surrounded by opportunities for growth."" to bg","Translated: ""I am surrounded by opportunities for growth."" to hr","Translated: ""I am surrounded by opportunities for growth."" to cs","Translated: ""I am surrounded by opportunities for growth."" to da","Translated: ""I am surrounded by opportunities for growth."" to nl","Translated: ""I am surrounded by opportunities for growth."" to en","Translated: ""I am surrounded by opportunities for growth."" to et"
